;tweet;retweet;favoritos
104;Nossa participação na Câmara de Comércio dos Estados Unidos, junto com o Ministro da Economia Paulo Guedes e com o Ministro de Relações Exteriores, @ernestofaraujo : https://t.co/37Exm0wFeM;3123;22605
105;No Brasil as privatizações visam o combate à corrupção bem como a geração de renda e empregos. Seguimos o prometido durante a campanha: tirar do Estado tudo o que puder ser administrado pela iniciativa privada.;4892;39323
106;Mais 22 aeroportos serão estudados na 6ª rodada de concessões. Eles vão do Paraná, Santa Catarina, Rio Grande do Sul, Amazonas, Acre, Rondônia, Rorâima, Goiás, Tocantins, Piauí, Pernambuco até o Maranhão. Detalhes: https://t.co/xk7KYM6SKq (via @MInfraestrutura);4429;39151
107;- Entrevista do meu filho @CarlosBolsonaro cedida à reporter @LedaNagle  - Um forte abraço a ambos. . Confira no Link: https://t.co/XweYdgrRMP;2556;20934
108;Jornalistas maldosos falaram recentemente em mal estar no mercado gerado pelo governo. Pois bem, a Bolsa de Valores atingiu hoje mais uma marca histórica. As expectativas geradas pelas ações do governo são as melhores e notícias positivas só aparecem. BRASIL ACIMA DE TUDO 🇧🇷;11758;71566
109;O não chancelamento deste acordo, que agora depende da aprovação do Congresso Nacional, faz há muito tempo com que o Brasil perca muito dinheiro por não explorar esta área privilegiada para realização de tal manobra de forma comercial.;3066;29198
110;O Ministro do Ciência e Tecnologia, @Astro_Pontes , destacou que o ato respeita a soberania do Brasil, já que a base fica no Maranhão, e que o governo brasileiro buscará firmar acordos com outros países, permitindo lançar outros foguetes e outras espaçonaves de outros países.;3205;29830
111;Brasil e os EUA assinaram acordo de salvaguardas tecnológicas para permitir o uso comercial do centro de lançamento de Alcântara, no Maranhão. O acordo prevê que os EUA poderão lançar satélites e foguetes da base maranhense. O território continuará sob jurisdição brasileira.;6225;47436
112;Nosso objetivo é claro: queremos o Brasil entre as economias mais livres do mundo! 🇧🇷 👍🏻;8814;64153
113;Importante lembrar que na última semana foi publicado também o decreto 9725/2019, que extingue 21.000 cargos comissionados, funções e gratificações do Poder Executivo. Seguimos com o objetivo de enxugar e otimizar a máquina pública. O exemplo vem de casa!;4352;36011
114;Decretamos o estabelecimento de critérios mais rígidos para ocupação de cargos comissionados no Governo. Dentre as novas regras estabelecidas, destaco a inclusão da Lei da Ficha Limpa como critério para contratação de novos servidores. (Decreto 9727/2019).;7081;49860
115;RT @BolsonaroSP: Indo agora com o PR @jairbolsonaroe ministros para a CIA, uma das agências de inteligência mais respeitadas do mundo. Será…;2809;0
116;@JOAQUINTEIXElRA @Astro_Pontes 👍🏻;163;4201
117;@Moninha86732005 @Astro_Pontes Bom Dia!;18;599
118;@SamueLudwig1914 @Astro_Pontes 👍🏻;11;570
